X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0000219087 -2938.3281135692 0.0057421572 1.6718864310
0.0007611575 0.0239545938 -2885.1703495055 0.1883145432 54.8296574451
0.0014773138 0.0434389109 -2865.3734116538 0.2563079215 74.6266049797
0.0028616364 0.0699226106 -2844.6229747222 0.3275761589 95.3770589519
0.0035821161 0.0837917494 -2835.5501378051 0.3587372070 104.4499065009
0.0100564594 0.2930009420 -2745.1513537115 0.6692162212 194.8489405373
0.0122477168 0.4430692874 -2700.0826068634 0.8240074990 239.9179382350
0.0131919894 0.5222980891 -2679.6140135272 0.8943082388 260.3866850201
0.0268807370 1.6579514837 -2477.8723408144 1.5872095279 462.1316390328
0.0301993593 1.8624255007 -2450.0000000000 1.6829408444 490.0047302810
0.0308512334 1.9299933196 -2441.1277553472 1.7134138315 498.8773387889
0.0285904826 1.9434370813 -2439.4087435191 1.7193190966 500.5964081873
0.0460714616 2.0958234979 -2425.8813417779 1.7657989763 514.1249334131
0.0399774148 2.2622671545 -2416.7464812654 1.7971973148 523.2614279986
0.1420806132 2.6079583872 -2400.0000000000 1.8547736281 540.0121838200
0.1499402563 2.6706220689 -2396.6740693553 1.8662113376 543.3387140194
0.3767135045 4.6309532135 -2296.6935537310 2.2100453621 643.3387138818
0.5112378918 5.8426601947 -2238.6999654366 2.4094911720 701.3451174733
0.5181228884 5.9069971303 -2235.6949384083 2.4198258773 704.3508410279
0.7462240511 8.1305389765 -2135.7199332307 2.7636600864 804.3508408902
0.9230712843 9.9300327736 -2059.4278060996 3.0260522387 880.6643969828
1.1369480982 12.1985558391 -1968.4374287420 3.3390065009 971.6833081170
1.2563840854 13.5033231463 -1918.2915806461 3.5114840333 1021.8462715507
1.4758607538 16.0434380076 -1824.7295706854 3.8333019054 1115.4430220676
1.7121006247 18.9171085633 -1724.7711591486 4.1771364279 1215.4430219299
1.7705419127 19.6540676725 -1700.0000000000 4.2623461667 1240.2252102492
1.7781093215 19.7508763947 -1696.7693738582 4.2734591945 1243.4572954083
1.8707099255 20.9439393621 -1657.3603990351 4.4090233553 1282.8844352128
1.9182986874 21.5802001965 -1636.6533713023 4.4802551117 1303.6012906227
1.9368381614 21.8279741538 -1628.6830827319 4.5076730549 1311.5754511319
