Example,subExample,Obs,binary,dQrel,dQmin,physics,Number of threads,intersections,Total Steps,Substeps per step,User Time(seg),Real Time(seg),System Time(seg),Average Time per step(seg),Profit User Time vs Dopri,Profit Real Time vs Dopri,Profit System Time vs Dopri,Macro Name,Experiment Folder
PutExample,PutSubExample,PutObs,exampleB5,0.1,0.01,PutPhysics,1,1,40,290.125,38.5795,41.15383,4.827,1.02884575,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_0_exampleB5_singleBeam_verbose.in_dQMin_0.01_dQRel_0.1_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
PutExample,PutSubExample,PutObs,exampleB5,0.001,0.0001,PutPhysics,1,1,40,3074.93,48.2175,51.117585,6.066,1.277939625,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_14_exampleB5_singleBeam_verbose.in_dQMin_0.0001_dQRel_0.001_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
PutExample,PutSubExample,PutObs,exampleB5,0.0001,1e-05,PutPhysics,1,1,46,8274.78,50.2715,53.391905,6.448,1.1606935869565218,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_21_exampleB5_singleBeam_verbose.in_dQMin_0.00001_dQRel_0.0001_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
PutExample,PutSubExample,PutObs,exampleB5,1e-05,1e-06,PutPhysics,1,1,46,25101.1,46.521,49.445295,5.8275,1.0748977173913044,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_28_exampleB5_singleBeam_verbose.in_dQMin_0.000001_dQRel_0.00001_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
PutExample,PutSubExample,PutObs,exampleB5,1e-06,1e-07,PutPhysics,1,1,43,80683.9,49.5465,52.41815,6.0815,1.2190267441860465,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_35_exampleB5_singleBeam_verbose.in_dQMin_0.0000001_dQRel_0.000001_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
PutExample,PutSubExample,PutObs,exampleB5,0.01,0.001,PutPhysics,1,1,40,921.3,49.5145,52.513675,6.313,1.312841875,PutProfitUserTime,PutProfitRealTime,PutProfitSystemTime,macro_7_exampleB5_singleBeam_verbose.in_dQMin_0.001_dQRel_0.01_numberOfThreads_1_stepper_QSS2_trialProposedStepModifier_0.0006_,PutExperimentFolder
