X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0153218001 0.3843081752 -2723.7871467447 0.7425928640 216.2133312891
0.0885004805 1.9354234920 -2450.0000000000 1.6829415270 490.0050924466
0.1013419491 2.1987337835 -2417.5316730251 1.7944590225 522.4759334696
0.1223919695 2.2195859948 -2415.6880817342 1.8007952787 524.3197669716
0.1800504836 2.3031463107 -2409.1981631774 1.8231043841 530.8105367227
0.1848263752 2.3088930497 -2408.6054626992 1.8251419926 531.4032846889
0.2630191349 2.3757187229 -2400.0000000000 1.8547267883 540.0094654846
1.1777884629 3.3391230003 -2300.0088359882 2.1985505928 640.0094653471
2.0912093763 4.4536044136 -2200.0192294055 2.5423744661 740.0094652096
2.4814807748 4.9807615413 -2157.1415919331 2.6898152968 782.8921199150
2.9626428598 5.6701102582 -2104.3193094141 2.8714539683 835.7210931851
3.7721528189 6.9324978936 -2015.1007631827 3.1782521346 924.9522496224
3.7868363355 6.9566553999 -2013.4839116250 3.1838121131 926.5693483054
4.2336480983 7.7098030337 -1964.3965238447 3.3526133655 975.6645480337
5.1434338895 9.3672357958 -1864.4144102569 3.6964377610 1075.6645478962
5.7226343534 10.5030066330 -1801.0663117385 3.9142881559 1139.0254773464
5.7544225763 10.5667459848 -1797.6117525449 3.9261683032 1142.4807707381
5.9549406198 10.9732595079 -1775.8314063123 4.0010707003 1164.2658332272
6.6529918151 12.4489438337 -1700.0000000000 4.2618581551 1240.1148135313
7.1879492453 13.6459008429 -1641.6084853685 4.4626731998 1298.5210479606
7.3823019284 14.1024985843 -1620.1269408409 4.5365517915 1320.0083237038
7.6453399709 14.7342619099 -1590.9971907399 4.6367347634 1349.1461115771
7.7055770733 14.8844986125 -1584.1958902039 4.6601259542 1355.9493379236
8.0443480343 15.7377741079 -1546.1518284650 4.7909690283 1394.0044762196
8.3269206394 16.4646617201 -1514.4584451780 4.8999718822 1425.7074539053
8.4561049459 16.8018156505 -1500.0000000000 4.9496991826 1440.1704065970
9.3481645099 19.2306589125 -1400.0334917037 5.2935245830 1540.1704064596
10.2399303428 21.8151221499 -1300.0708830229 5.6373500551 1640.1704063221
10.7737929744 23.4313560924 -1240.5185665854 5.8421897589 1699.7470450778
11.6693332721 26.2749758138 -1140.5630281435 6.1860154174 1799.7470449403
12.5742837839 29.2713359227 -1040.6120365456 6.5298411497 1899.7470448028
12.7931713502 30.0218896580 -1016.3387729749 6.6133421763 1924.0328961286
13.6959468199 33.2162027598 -916.3938958116 6.9571680112 2024.0328959911
13.8452920038 33.7554073836 -900.0000000000 7.0135672897 2040.4363366982
13.9261250413 34.0509388351 -891.0787934943 7.0442587939 2049.3628028945
14.0525961294 34.5152829536 -877.1121834849 7.0923081262 2063.3377020906
14.6460566308 36.7354224380 -811.6654969091 7.3174695831 2128.8247278414
15.0670858288 38.4018217005 -763.8985224260 7.4818112331 2176.6226166133
15.5012866349 40.1171664636 -715.7090225182 7.6476110739 2224.8445930622
15.6480867159 40.6824190725 -700.0000000000 7.7016601558 2240.5644674974
15.9058369843 41.6812202339 -672.5568290079 7.7960836780 2268.0270180966
16.2067013022 42.8648329451 -640.4717509823 7.9064805678 2300.1353303121
16.2461239485 43.0207847878 -636.2798769105 7.9209039533 2304.3302895927
16.8816622473 45.5694978787 -568.8228581222 8.1530149151 2371.8384348590
17.2373681055 47.0202504213 -531.2200728982 8.2824052936 2409.4708771072
17.6152252584 48.5918616227 -491.1403970392 8.4203219819 2449.5831347184
18.5578782979 52.6237882916 -391.2261698085 8.7641488123 2549.5831345809
18.7963657310 53.6711206410 -365.9015438969 8.8512999790 2574.9305302626
19.7364906858 57.9025122018 -265.9955414695 9.1951269183 2674.9305301251
19.9360397326 58.8165526428 -244.8839646289 9.2677854620 2696.0628269904
20.0579332400 59.3785468055 -231.9944732904 9.3121471062 2708.9651400970
20.4651516452 61.2779432418 -188.8779029719 9.4605439375 2752.1254487679
21.3002459492 65.2868121730 -100.0000000000 9.7664545032 2841.0976432592
21.4343085849 65.9402157056 -85.7476292728 9.8155116712 2855.3656137684
21.7237178548 67.3586753110 -55.1562173080 9.9208110011 2885.9912615833
22.0148861846 68.8251907490 -23.9460739546 10.0282430710 2917.2371977967
22.3233478286 70.3919536657 8.9778770495 10.1415777078 2950.1998507101
22.3815180487 70.6918995979 15.2363760213 10.1631217778 2956.4658032188
22.7167383643 72.4263307029 51.2131608714 10.2869689071 2992.4859327464
22.7756500009 72.7421264108 57.6842770749 10.3092457921 2998.9650177566
23.0950888384 74.4584863133 92.6228200811 10.4295240501 3033.9471528116
23.1626188340 74.8227983731 100.0000000000 10.4549208150 3041.3336314958
24.0780000151 79.8017661106 199.1314818658 10.7962065850 3140.5943025542
24.5034439182 82.1600767584 245.0576549974 10.9543283923 3186.5829544871
24.9551956705 84.6908371991 293.6553177801 11.1216543583 3235.2485663386
25.5872508114 88.2870838827 361.5441550340 11.3554125701 3303.2355295489
26.2286449421 91.9916238545 430.0864691136 11.5914345629 3371.8808811702
26.5162626010 93.6748913712 460.7594095757 11.6970600795 3402.6013207724
27.4556094583 99.2606699026 560.5988533638 12.0408882412 3502.6013206349
27.5153084177 99.6208680256 566.9393828295 12.0627248867 3508.9523536733
28.4073529980 105.1092104129 662.1561951033 12.3906650095 3604.3313909862
28.7620556126 107.3326361142 700.0000000000 12.5210128481 3642.2421157156
28.8131116936 107.6546234380 705.4455727428 12.5397697980 3647.6974383582
28.8352307293 107.7930877920 707.7847090819 12.5478268515 3650.0407736835
29.0057140254 108.8685398370 725.8929827130 12.6102007103 3668.1817560313
29.1730298132 109.9204847121 743.5211014644 12.6709217534 3685.8420266362
29.2469118549 110.3753502394 751.1236890658 12.6971095961 3693.4585678267
29.4697985018 111.7597555270 774.1874675460 12.7765558833 3716.5649337475
29.5323284483 112.1458561636 780.5885506237 12.7986056891 3722.9779555313
30.2581221209 116.6685549073 854.7762089885 13.0541699758 3797.3068941053
30.3003289504 116.9249900339 858.9426512229 13.0685232548 3801.4814337583
30.4401734590 117.7760971073 872.7457426826 13.1160748590 3815.3114473338
30.5555480857 118.4865827219 884.2188631895 13.1556003419 3826.8071246207
30.7150657689 119.4693485366 900.0000000000 13.2099683674 3842.6196372812
31.2754628433 122.9047230202 954.6641044891 13.3983001508 3897.3944522612
32.2985858480 129.2989004018 1054.4542119395 13.7421293809 3997.3944521237
33.3291476162 135.8572496479 1154.2335877024 14.0859586814 4097.3944519862
34.3567600722 142.5740565051 1254.0024523261 14.4297880650 4197.3944518486
35.3881857266 149.4498607559 1353.7604460259 14.7736175517 4297.3944517111
36.4197260803 156.4838398714 1453.5074103520 15.1174470927 4397.3944515735
36.8974110490 159.8175218691 1500.0000000000 15.2777212130 4444.0088550621
37.0953171707 161.2122487335 1519.3140244422 15.3443049535 4463.3741842951
37.1357844618 161.4955852973 1523.2333011427 15.3578164752 4467.3038976550
38.0080708425 167.6351015810 1607.3205612513 15.6477186338 4551.6195146373
38.3649242176 170.2795497601 1642.8523183200 15.7702314690 4587.2513300236
38.5008013447 171.2917186632 1656.3885788763 15.8169054622 4600.8260602281
38.5901827183 171.9584678029 1665.2852228014 15.8475821200 4609.7481013059
38.7685616086 173.2935298020 1683.0339809890 15.9087831623 4627.5478943226
38.9421292894 174.5734738892 1700.0000000000 15.9672862597 4644.5630107684
39.4121201546 178.0604286349 1745.8973855226 16.1255583453 4690.5950630740
39.8771093235 181.5480391022 1791.3753587064 16.2823926492 4736.2089401290
40.5369072159 186.5499174416 1855.8817353951 16.5048624620 4800.9123181741
41.5585156792 194.4098076420 1955.5671218465 16.8486928148 4900.9123180365
42.3750031757 200.8139242413 2035.3352623114 17.1238567692 4980.9412907572
43.2542564016 207.8415309601 2121.4682180630 17.4210076528 5067.3649426440
44.2700978561 216.1215515215 2221.1196463287 17.7648382277 5167.3649425064
44.9556122284 221.8462350919 2289.0006448059 17.9990742747 5235.4903550199
45.5223448298 226.6217846510 2344.9671938510 18.1922135666 5291.6631410089
46.0797651664 231.3710267894 2400.0000000000 18.3821462530 5346.9033072961
47.3386092799 242.2766421993 2524.2803069950 18.8111241547 5471.6675530889
48.0586248813 248.6080770758 2595.1651974977 19.0558311224 5542.8382896508
48.8174397750 255.3803395272 2669.9997840045 19.3142002537 5617.9825200414
49.8469042041 264.7289663272 2771.7147101536 19.6654196772 5720.1313582840
