X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 1.1639324538 -2554.6459679845 1.3235210500 385.3563771137
-0.0077883269 1.8826569731 -2450.0000000000 1.6829408247 490.0048253337
-0.0089074136 2.0141545658 -2433.2214736073 1.7405692081 506.7842525763
-0.0176994097 2.0315789465 -2431.3785104666 1.7469012411 508.6273231402
-0.1505079846 2.1625031542 -2412.9332074228 1.8102791564 527.0740412954
-0.1878638442 2.1459747324 -2410.1411170558 1.8198764307 529.8664403235
-0.4092892795 2.1078084453 -2400.0000000000 1.8547411228 540.0101908809
-2.2677834434 1.6337035895 -2321.2520950268 2.1255366955 618.7814555338
-3.8941108505 1.3025747851 -2252.2222959279 2.3629122418 687.8312074251
-5.0193410825 1.1153808846 -2204.4716260596 2.5271138440 735.5955012967
-7.0102534560 0.8739663524 -2119.9999329332 2.8175881238 820.0910043700
-7.6346654743 0.8214406946 -2093.5598846489 2.9085078993 846.5384770879
-9.9982756882 0.7214839225 -1993.5878825780 3.2522828443 946.5384769511
-10.9208277471 0.7271718397 -1954.5174581074 3.3866346401 985.6197928589
-13.2869542753 0.8531282777 -1854.5455449374 3.7304096850 1085.6197927221
-15.4852375877 1.1119568272 -1761.4278449035 4.0506156108 1178.7638054408
-16.9332198367 1.3612144592 -1700.0000000000 4.2618497076 1240.2092220006
-17.3711478355 1.4485635111 -1681.4419822154 4.3256660440 1258.7726117844
-17.6118188369 1.4994811668 -1671.3237100665 4.3604604411 1268.8938739122
-18.0297596343 1.5932904071 -1653.5637488876 4.4215330791 1286.6589998720
-18.5661445426 1.7195480364 -1630.7446502637 4.5000030538 1309.4847511854
-18.9283929017 1.8124762893 -1615.3454412977 4.5529578054 1324.8885006997
-19.9823587690 2.0985327308 -1570.5260323355 4.7070829803 1369.7212144661
-20.3893999182 2.2133274546 -1553.2657036229 4.7664380831 1386.9867237767
-21.0932547191 2.4168892199 -1523.6793265734 4.8681808797 1416.5821724913
-21.6583422945 2.5911501917 -1500.0000000000 4.9496107153 1440.2688820704
-22.2002331827 2.7705578496 -1477.1991003378 5.0280198922 1463.0769259172
-22.2824395542 2.7984906458 -1473.7443035474 5.0399004968 1466.5328135014
-24.6621292266 3.6884488827 -1373.7765942945 5.3836791838 1566.5328133646
-27.0449198940 4.7418460893 -1273.8105475345 5.7274579487 1666.5328132277
-27.4308667892 4.9274580515 -1257.6293103721 5.7831051000 1682.7197167574
-29.1368110136 5.7979134532 -1186.1121147300 6.0290542616 1754.2625554652
-31.1495406760 6.9232423820 -1101.7866417389 6.3190558550 1838.6195582646
-32.7040408399 7.8702534545 -1036.7588565658 6.5426953805 1903.6728174304
-34.7924942365 9.2480407570 -949.3346436729 6.8433646921 1991.1328321987
-35.2022466615 9.5335038288 -932.1988488442 6.9022990120 2008.2759022946
-35.9720697980 10.0821400275 -900.0000000000 7.0130396770 2040.4886252382
-36.3040280806 10.3237129007 -886.1053893601 7.0608273191 2054.3893000610
-38.0795339647 11.6726393117 -811.6740566053 7.3168216717 2128.8540312842
-38.0864914184 11.6781366153 -811.3837916568 7.3178200086 2129.1444316402
