X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0362130630 -2872.0279187549 0.2334527285 67.9720941403
0.0022265032 0.0958378274 -2828.5713604124 0.3827060900 111.4286942968
0.0138815790 0.5425944358 -2674.9057226497 0.9104790140 265.0950192813
0.0179051136 0.8201329276 -2613.6559410952 1.1208460089 326.3454321431
0.0205606669 0.9764090091 -2583.9071548806 1.2230208334 356.0946292225
0.0313891922 1.5065445457 -2497.7041678183 1.5190941721 442.2992536918
0.0334024468 1.6672276250 -2474.7644974714 1.5978833644 465.2394870067
0.0352202409 1.8515781154 -2450.0000000000 1.6829404686 490.0046708603
0.0354604881 1.8744709861 -2447.0051264416 1.6932267938 492.9996430438
0.0347442635 1.8765616484 -2446.6782564607 1.6943495520 493.3265206033
0.0291272515 1.8862394291 -2446.0809848644 1.6964014301 493.9238973921
0.0261971459 1.8906684498 -2445.7888357520 1.6974051022 494.2160948520
-0.0151834341 1.9466024985 -2441.8938855930 1.7107864464 498.1116857328
-0.1389494980 2.1486488861 -2430.9540796187 1.7483770860 509.0542226444
-0.2598094085 2.7094060415 -2400.0000000000 1.8547565719 540.0149517828
-2.5377668252 3.4194734744 -2304.5959479091 2.1828634324 635.4488462531
-3.7434612752 3.8572047903 -2254.3835254201 2.3555539159 685.6776509056
-6.1429832256 4.8523176487 -2154.4172817152 2.6993616488 785.6776507684
-7.5441419976 5.5061689388 -2096.1276293712 2.8998365219 843.9878092819
-9.1078144365 6.3003384150 -2030.9602880421 3.1239680853 909.1787483742
-10.4990319682 7.0635759653 -1972.9374964748 3.3235296463 967.2232365074
-12.2593833604 8.1086976101 -1899.5760240762 3.5758504828 1040.6132724118
-13.8180790223 9.1071053758 -1834.6522077120 3.7991545399 1105.5634738205
-16.2216826122 10.7763518702 -1734.6950461803 4.1429627248 1205.5634736833
-16.7133349742 11.1373345591 -1714.2716936651 4.2132112059 1225.9959322310
-17.0571096745 11.3939472589 -1700.0000000000 4.2623006340 1240.2740718883
-17.7048366433 11.8872482886 -1673.1021305361 4.3548200988 1267.1842613759
-18.3119973173 12.3562579866 -1647.9622423884 4.4412933823 1292.3358538952
-19.2181031139 13.0704433128 -1610.6904593634 4.5694982951 1329.6254900591
-21.1448942346 14.6748726330 -1531.2332461465 4.8428149621 1409.1222609099
-21.8451028952 15.2889920601 -1501.9005997646 4.9437139704 1438.4696902106
-21.8908213439 15.3294711187 -1500.0000000000 4.9502517706 1440.3712706580
-22.1288671763 15.5413156486 -1490.0771908608 4.9843848456 1450.2991951788
-24.5256401236 17.7626726500 -1390.1306106895 5.3281936290 1550.2991950415
-26.9279743470 20.1430678012 -1290.1878253339 5.6720024740 1650.2991949043
-29.3306486491 22.6843401125 -1190.2490094182 6.0158114157 1750.2991947670
-31.7453540086 25.3856661158 -1090.3146826194 6.3596204586 1850.2991946298
-34.1724135582 28.2445734993 -990.3850380393 6.7034295711 1950.2991944925
-34.6958522273 28.8813921701 -968.8407536054 6.7775550015 1971.8592437163
-34.9958265589 29.2497225383 -956.4990530213 6.8200183236 1984.2100827912
-36.3696705523 30.9672330917 -900.0000000000 7.0144144125 2040.7519301393
-37.0293446497 31.8112336041 -872.8100150581 7.1079686237 2067.9630089342
-38.2856954321 33.4531979876 -821.2086575132 7.2855212658 2119.6057701682
-38.5192089629 33.7587577042 -811.6264880529 7.3184921975 2129.1956537656
-38.5640331655 33.8178455695 -809.7741949487 7.3248656609 2131.0494310922
-38.9764376382 34.3679512560 -792.6700272049 7.3837189201 2148.1674114630
-41.2120780521 37.4363732514 -700.0000000000 7.7025946942 2240.9151837559
-41.5646019970 37.9332346331 -685.5097668919 7.7524575442 2255.4182179616
-43.9937281510 41.4504626032 -585.6011772272 8.0962673405 2355.4182178243
-46.4254539063 45.1237026125 -485.6982650929 8.4400772249 2455.4182176870
-46.5840381478 45.3690204957 -479.1777385164 8.4625179291 2461.9452841563
-49.0124223793 49.2122880375 -379.2811415782 8.8063279055 2561.9452840190
-49.4376823848 49.9017940529 -361.8165782109 8.8664373917 2579.4286258478
-51.8692408837 53.9423246453 -261.9278427550 9.2102474536 2679.4286257105
-54.3025382083 58.1446234033 -162.0458244311 9.5540575832 2779.4286255733
-54.7491740292 58.9352247117 -143.6810302621 9.6172747581 2797.8158548738
-55.8113877370 60.8376869201 -100.0000000000 9.7676413478 2841.5511969206
-57.0266617602 63.0525657287 -50.0215992297 9.9396916326 2891.5934123101
-58.6800150635 66.1535080830 18.5288972728 10.1756848774 2960.2339297794
-59.0139889395 66.7821995115 32.3838085504 10.2233823758 2974.1071183064
-59.0539645795 66.8580626849 34.0449552027 10.2291011800 2975.7704767993
-60.0905842470 68.8376603544 77.0487474897 10.3771522937 3018.8322887920
-60.2385779094 69.1217339208 83.1706693406 10.3982289136 3024.9625846396
-60.4985715704 69.6240782766 93.9520748125 10.4353475326 3035.7588178398
-60.6447888083 69.9074308921 100.0000000000 10.4561698347 3041.8151424217
-61.0334607052 70.6623174506 116.0732105208 10.5115083299 3057.9107634893
-61.3797842884 71.3379265217 130.3789100019 10.5607620985 3072.2365942262
-61.4381670390 71.4521577627 132.7901405924 10.5690638974 3074.6512350450
-62.5430307472 73.6301438612 178.3846589660 10.7260475614 3120.3111140036
-63.1099161615 74.7593323360 201.7514409036 10.8065024868 3143.7120313002
-63.5270524994 75.5958957428 218.9407608297 10.8656885983 3160.9267506594
-65.8383723398 80.3182502164 314.2382750270 11.1938303277 3256.3691983315
-68.2584985803 85.4202172424 414.0787014904 11.5376415268 3356.3691981942
-70.6778111132 90.6724521858 513.9113554162 11.8814528183 3456.3691980569
-73.0961007160 96.0852035333 613.7354598858 12.2252641867 3556.3691979197
-73.2453714820 96.4255514802 619.9126550653 12.2465404921 3562.5575627141
-74.7565795860 99.9034590765 682.4196395932 12.4618417669 3625.1794681135
-74.7739790702 99.9438364856 683.1390326111 12.4643197377 3625.9002034266
-74.9479968502 100.3477726522 690.3290723703 12.4890861285 3633.1036830298
-75.1822382975 100.8922854893 700.0000000000 12.5223982925 3642.7927595953
-76.0603183720 102.9461160039 736.2483966467 12.6472608589 3679.1099120810
-76.8403967705 104.7973061889 768.5832013382 12.7586460270 3711.5070579723
-77.4424697760 106.2435574952 793.6184188030 12.8448883943 3736.5912415171
-79.0364793477 110.1039712579 859.7722784883 13.0727860347 3802.8768159639
-79.2484802309 110.6308256246 868.6882574517 13.1035023658 3811.8108632659
-79.9930279601 112.4921860455 900.0000000000 13.2113763555 3843.1867181706
-82.3769867739 118.5269910661 999.7892564529 13.5551885707 3943.1867180333
-83.4962086173 121.4160925556 1046.6236014706 13.7165627800 3990.1234365234
-85.8800917484 127.6901756375 1146.3981013057 14.0603751260 4090.1234363861
-88.2700766465 134.1235981210 1246.1623077226 14.4041875410 4190.1234362488
-90.6604194131 140.7158669281 1345.9161351582 14.7480000304 4290.1234361115
-93.0235746343 147.3925878956 1444.5255040453 15.0879048176 4388.9868420994
-94.3125274167 151.1250297746 1498.5842033417 15.2742606346 4443.1895696758
-94.3462604421 151.2242898434 1500.0000000000 15.2791416495 4444.6092424881
-94.9151094244 152.8890213298 1523.8755944924 15.3614515032 4468.5495629926
-94.9631779962 153.0308487866 1525.9055196215 15.3684496107 4470.5850043812
-95.0883704930 153.4009707229 1531.1979687449 15.3866952471 4475.8918566688
-96.1766252200 156.6393249507 1577.2843771932 15.5455809755 4522.1047166524
-96.4050471970 157.3298825033 1587.0133729467 15.5791238679 4531.8608637030
-97.1664146263 159.6404997451 1619.3697701403 15.6906833602 4564.3085926227
-97.9205938045 161.8767090789 1650.5432720596 15.7981686087 4595.5712976147
-98.4104371700 163.3304648003 1670.6502390146 15.8674999077 4615.7367006507
-99.1256149551 165.4611553970 1700.0000000000 15.9687036885 4645.1723902843
-99.4067702557 166.3020630998 1711.5123116829 16.0084017596 4656.7187964220
-100.9308906814 170.8981302768 1773.9354887389 16.2236656526 4719.3294995010
-101.8969456101 173.8437780690 1813.5149379214 16.3601618238 4759.0301664248
-102.3826900327 175.3360278215 1833.4396298662 16.4288777246 4779.0165645381
-103.5566667964 178.9626630176 1881.5401522919 16.5947722497 4827.2678969396
-105.9931825128 186.5933423740 1981.2188057649 16.9385856438 4927.2678968023
-108.4257375496 194.3791729857 2080.8855572528 17.2823991135 5027.2678966650
-109.1005085954 196.5627943820 2108.5051749041 17.3776836619 5054.9819149654
-110.0099955156 199.5267269507 2145.7440497676 17.5061589258 5092.3496270429
-110.3596296283 200.6710360892 2160.0443943967 17.5554972611 5106.6999421911
-111.5019168026 204.4303768956 2206.7498251172 17.7166441078 5153.5703467758
-112.3276019263 207.1721868397 2240.5618217447 17.8333105053 5187.5033752626
-113.6626848094 211.6607650714 2295.4018774086 18.0225443356 5242.5430134731
-114.4300130672 214.2704320774 2326.9932182101 18.1315616105 5274.2512456856
-114.7373888812 215.3197589480 2339.6334954315 18.1751829343 5286.9387267432
-116.2058051534 220.3670045690 2400.0000000000 18.3835167534 5347.5336613327
-121.3546263105 238.5222711066 2611.6317318598 19.1140236010 5560.0052062877
-122.1602061069 241.4327511320 2644.7948408319 19.2285148320 5593.3055317525
