X Y Z LocalTime TrackLength
0.0000000000 0.0000000000 -2940.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0422225779 -2866.6043534922 0.2520801800 73.3956627400
0.0055517797 0.1655903671 -2794.2094813755 0.5007235266 145.7906441078
0.0125971986 0.6147037903 -2660.2064606734 0.9609648289 279.7944423813
0.0130009210 0.6572150810 -2650.7596120250 0.9934107415 289.2413867020
0.0148218861 1.0285872765 -2578.6247722052 1.2411640977 361.3771863885
0.0161177459 1.1459007629 -2558.7613113525 1.3093871726 381.2409937893
0.0180018221 1.3330753684 -2528.9736807350 1.4116960596 411.0292128052
0.0195900878 1.5466513396 -2497.3879525698 1.5201810631 442.6156634085
0.0210384580 1.8946114957 -2450.0000000000 1.6829414049 490.0048945887
0.0227991390 2.2723937196 -2403.3315569785 1.8432314323 536.6778500731
-0.0019303732 2.2288324046 -2400.0000000000 1.8546856350 540.0097980016
-0.3233002735 1.2139707598 -2300.0056770871 2.1984788770 640.0097978645
-0.6457511019 0.3565340858 -2200.0098838488 2.5422721874 740.0097977275
-0.7374237823 0.1428525390 -2171.4802336890 2.6403584950 768.5403956228
-0.8005531133 0.0038472709 -2151.9297384265 2.7075738612 788.0914870492
-0.8432846648 -0.0858698040 -2138.8491637849 2.7525453180 801.1724391893
-1.1686693285 -0.6810534082 -2038.8514752175 3.0963387865 901.1724390523
-1.5014102449 -1.1124838396 -1938.8529702848 3.4401323235 1001.1724389153
-1.8381250734 -1.3729544762 -1838.8538960979 3.7839259234 1101.1724387782
-2.1273525499 -1.4666527388 -1752.1566256698 4.0819875174 1187.8702492409
-2.3085678860 -1.4625463707 -1700.0000000000 4.2612998340 1240.0271914055
-2.3553567360 -1.4533604802 -1686.4846613896 4.3077650189 1253.5426141918
-2.4531759616 -1.4268348405 -1659.0421603108 4.4021112917 1280.9853028277
-2.6394424274 -1.3422722494 -1607.5863745078 4.5790145618 1332.4414973864
-2.6777973052 -1.3181716651 -1596.9464355011 4.6155943698 1343.0815328547
-2.6804466566 -1.3163316192 -1596.2231360916 4.6180810550 1343.8048394569
-2.8180284315 -1.2086849853 -1558.6324652250 4.7473169531 1381.3959171437
-2.9106368736 -1.1319834427 -1534.2429878886 4.8311675784 1405.7856911997
-2.9123298565 -1.1304508427 -1533.7971506512 4.8327003613 1406.2315342857
-2.9243220173 -1.1195027462 -1530.6491828534 4.8435230386 1409.3795439651
-3.0407536850 -1.0061701908 -1500.0000000000 4.9488946650 1440.0291580388
-3.3140383870 -0.6783418710 -1427.3737853004 5.1985838386 1512.6566308915
-3.3311731992 -0.6549602365 -1422.7696308960 5.2144129798 1517.2608765522
-3.6850079182 -0.0958517607 -1327.6180503801 5.5415467887 1612.4147667880
-3.7025444748 -0.0640663384 -1322.8633954635 5.5578935256 1617.1695602879
-3.7140192392 -0.0432971374 -1319.7851807902 5.5684765887 1620.2478664141
-3.9776619060 0.4734229243 -1249.2385439729 5.8110206349 1690.7968919468
-4.1484944097 0.8543484292 -1202.9529180532 5.9701548173 1737.0844016383
-4.5153136724 1.7962751042 -1102.9580379095 6.3139499369 1837.0844015012
-4.5276895110 1.8307592344 -1099.5794342868 6.3255660962 1840.4632037682
-4.8942610694 2.9329069376 -999.5861908505 6.6693612807 1940.4632036311
-5.1628371131 3.8291439643 -927.4716107414 6.9173086663 2012.5838568262
-5.2588607502 4.1667967728 -901.8923213270 7.0052573470 2038.1655550926
-5.2659646698 4.1927512996 -900.0000000000 7.0117637172 2040.0580677667
-5.3111952304 4.3558027813 -887.9515854287 7.0531896894 2052.1076705175
-5.4296856361 4.7957702990 -856.0155933825 7.1629953310 2084.0469134225
-5.4403547949 4.8365151385 -853.1296885207 7.1729179991 2086.9331256208
-5.6944257786 5.8570103120 -783.8091670503 7.4112662900 2156.2616286373
-5.8302368614 6.3825074807 -749.3099991513 7.5298876170 2190.7650665529
-5.8460875719 6.4446494838 -745.3425792147 7.5435292195 2194.7330047900
-5.9102797798 6.6984819552 -729.2529087746 7.5988521463 2210.8248054875
-5.9377575692 6.8099974568 -722.2633052789 7.6228853531 2217.8153525293
-6.0264915487 7.1710391772 -700.0000000000 7.6994363400 2240.0817621435
-6.3726413697 8.6353792339 -613.9798502725 7.9952153251 2326.1150780263
-6.5441299633 9.3980572258 -571.6465605563 8.1407802697 2368.4555855033
-6.5592681989 9.4669528620 -567.8985650897 8.1536680099 2372.2042447031
-6.7263334849 10.2448254478 -526.3903708047 8.2963977405 2413.7200640172
-6.8280748175 10.7296801395 -501.2678314226 8.3827848329 2438.8474878609
-7.2332642063 12.7583194917 -401.2892423102 8.7265809469 2538.8474877239
-7.4227728493 13.7540527944 -354.8933543986 8.8861263116 2585.2544474728
-7.8317530278 16.0182325811 -254.9198375952 9.2299225460 2685.2544473357
-8.2417252667 18.4487068314 -154.9502294404 9.5737188373 2785.2544471986
-8.4718388252 19.8528137302 -100.0000000000 9.7626990683 2840.2230962625
-8.4757876788 19.8773307570 -99.0561303543 9.7659451813 2841.1672925271
-8.5877042980 20.5763854893 -72.3569453545 9.8577682935 2867.8758623570
-8.6204946617 20.7917493500 -64.2519655567 9.8856429963 2875.9837692770
-8.7082437717 21.3642168654 -42.8965544447 9.9590891598 2897.3470324085
-8.8077856097 22.0419423681 -17.8581952384 10.0452024075 2922.3947602082
-8.8938606796 22.6330673843 3.7510254461 10.1195225759 2944.0122361382
-8.9186804412 22.8131649095 10.2702353815 10.1419441230 2950.5339804956
-9.1928384441 24.8377790956 82.0830986442 10.3889343614 3022.3759064357
-9.2610943236 25.3551551946 100.0000000000 10.4505582418 3040.3004063130
-9.3688220504 26.1878305287 128.5605422601 10.5487909430 3068.8732875483
-9.6507379489 28.4283440904 203.3261606415 10.8059501332 3143.6730050579
-10.0323384539 31.5616616579 303.2763209156 11.1497473087 3243.6730049208
-10.4156557350 34.8530660334 403.2213936397 11.4935445234 3343.6730047838
-10.5636943500 36.1596972687 441.5463870955 11.6253823549 3382.0205519101
-10.7181027808 37.5412210436 481.3839228442 11.7624261146 3421.8823350966
-11.0808574381 40.8601158136 574.3242695979 12.0821587446 3514.8826378201
-11.1155652015 41.1806794864 583.0934002648 12.1123271681 3523.6576944275
-11.4152502407 43.9993053675 658.8327397716 12.3728994405 3599.4500602575
-11.5697308754 45.4963065227 698.0830072977 12.5079400951 3638.7291695763
-11.5772957833 45.5703674909 700.0000000000 12.5145356396 3640.6476073035
-11.6032123744 45.8234281392 706.5655869477 12.5371249118 3647.2181204856
-11.8378350600 48.1925225497 767.2497214922 12.7459160744 3707.9489384432
-11.9715550097 49.5030777868 799.9803783162 12.8585344842 3740.7060960404
-12.1278633718 51.0570030490 838.2829451997 12.9903273910 3779.0404907788
-12.2841200664 52.5739466552 875.1099069673 13.1170463248 3815.8990136904
-12.3297346130 53.0271429840 885.9934584787 13.1544965407 3826.7920923154
-12.3883909989 53.6145022926 900.0000000000 13.2026935358 3840.8110665618
-12.7094684334 56.8864230652 976.9685722775 13.4675515139 3917.8498258228
-13.1219404859 61.2708506030 1076.8715477009 13.8113499428 4017.8498256857
-13.3452839841 63.6916174086 1130.6209157558 13.9963283713 4071.6541436033
-13.7625094807 68.3076595827 1230.5134375680 14.3401269060 4171.6541434662
-14.0767064071 71.8705789372 1305.4194236741 14.5979460682 4246.6454799358
-14.3149459461 74.6211852324 1361.9508198648 14.7925319053 4303.2442570298
-14.7339974224 79.6073700003 1461.8255423612 15.1363306198 4403.2442568927
-14.7709997949 80.0558997633 1470.6607234511 15.1667452471 4412.0908931533
-14.8941114609 81.5545092068 1500.0000000000 15.2677457104 4441.4686764474
-14.9801850852 82.6183774803 1520.6642542999 15.3388838750 4462.1604776761
-15.1351714951 84.6263385194 1559.4399294594 15.4723739783 4500.9884185182
-15.3600699934 87.7791590596 1619.5230286277 15.6792248388 4561.1546055059
-15.6357061797 92.0891156445 1700.0000000000 15.9563022431 4641.7473831460
-15.9549876152 97.5866556652 1799.8482496057 16.3001017399 4741.7473830088
-16.2799390142 103.2423879858 1899.6876453106 16.6439012916 4841.7473828717
-16.3274511063 104.0853123290 1914.3316277530 16.6943308490 4856.4156820790
-16.3679498292 104.8099022689 1926.8729709094 16.7375200734 4868.9780050862
-16.6122312989 109.2165191234 2002.2287700013 16.9970370374 4944.4629380020
-16.9059707346 114.7821888849 2095.1923640860 17.3172195462 5037.5934614395
-16.9225253762 115.0974516784 2100.3873628785 17.3351128917 5042.7980437659
-17.2415536111 121.2378854000 2200.1981395053 17.6789127439 5142.7980436288
-17.3352553541 123.0928629572 2229.8497468267 17.7810547401 5172.5077651918
-17.5254079720 126.9151925660 2290.2236542388 17.9890368028 5233.0028504888
-17.8439029289 133.3601304612 2390.0152329045 18.3328368220 5333.0028503517
-17.8759447856 134.0140346646 2400.0000000000 18.3672381724 5343.0090580025
-17.9249931489 135.0288467050 2415.4519190092 18.4204765956 5358.4943429618
-17.9732438182 136.0281174073 2430.6146660329 18.4727194804 5373.6900584200
-18.1128128261 138.9403669771 2474.4811439710 18.6238652383 5417.6533231321
-18.3977993929 144.9310461992 2563.2528123483 18.9297581451 5506.6273637355
-18.5225923278 147.6369108118 2602.7620571298 19.0659098972 5546.2293555134
-18.7621119382 152.9159265652 2678.8634412412 19.3281767472 5622.5139985652
-19.0345332413 158.9627942689 2764.4459704587 19.6231448862 5708.3103230116
